geracao;minFitness;maxFitness;avgFitness;time
830;174;542;263;0.474206
831;174;556;262;0.474806
832;174;538;264;0.475399
833;174;559;260;0.475990
834;174;545;258;0.476578
835;174;552;261;0.477161
836;174;556;258;0.477748
837;174;564;259;0.478340
838;174;540;255;0.478928
839;174;554;262;0.479523
840;174;553;260;0.480136
841;174;545;258;0.480738
842;174;543;262;0.481337
843;174;554;254;0.481914
844;174;556;261;0.482506
845;174;545;271;0.483116
846;174;565;260;0.483709
847;174;531;257;0.484298
848;174;565;259;0.484888
849;174;563;254;0.485475
850;174;567;273;0.486070
851;174;540;263;0.486674
852;174;564;262;0.487276
853;174;537;255;0.487856
854;174;581;265;0.488453
855;174;557;257;0.489041
856;174;560;259;0.489630
857;174;552;257;0.490220
858;174;565;266;0.490820
859;174;531;263;0.491416
860;174;565;256;0.492006
861;174;538;258;0.492600
862;174;537;261;0.493199
863;174;560;262;0.493798
864;174;535;260;0.494393
865;174;560;262;0.494986
866;174;560;259;0.495578
867;174;530;259;0.496159
868;174;535;256;0.496737
869;174;557;259;0.497326
870;174;557;257;0.497915
871;174;545;260;0.498513
872;174;537;254;0.499102
873;174;542;260;0.499688
874;174;519;255;0.500279
875;174;551;249;0.500860
876;174;568;253;0.501443
877;174;555;257;0.502032
878;174;531;260;0.502624
879;174;533;266;0.503229
880;174;529;258;0.503818
881;174;532;257;0.504405
882;174;547;254;0.505000
883;174;544;263;0.505589
884;174;539;262;0.506184
885;174;546;263;0.506776
886;174;540;257;0.507365
887;174;550;256;0.507950
888;174;561;260;0.508531
889;174;556;258;0.509120
890;174;566;254;0.509713
891;174;563;255;0.510303
892;174;547;253;0.510901
893;174;547;265;0.511493
894;174;541;263;0.512089
895;174;549;262;0.512683
896;174;554;265;0.513279
897;174;539;262;0.513870
898;174;572;259;0.514459
899;174;585;255;0.515044
900;174;564;264;0.515642
901;174;550;265;0.516239
902;174;560;265;0.516851
903;174;534;257;0.517437
904;174;542;264;0.518036
905;174;552;262;0.518643
906;174;539;256;0.519234
907;174;543;255;0.519820
908;174;542;259;0.520397
909;174;550;258;0.520990
910;174;544;262;0.521580
911;174;557;266;0.522179
912;174;550;263;0.522782
913;174;521;266;0.523387
914;174;566;264;0.523988
915;174;541;258;0.524579
916;174;545;266;0.525175
917;174;560;262;0.525763
918;174;554;261;0.526349
919;174;547;258;0.526941
920;174;554;267;0.527549
921;174;557;255;0.528129
922;174;566;262;0.528720
923;174;548;259;0.529321
924;174;535;265;0.529922
925;174;537;268;0.530534
926;174;555;263;0.531138
927;174;554;264;0.531728
928;174;543;259;0.532322
929;174;552;261;0.532917
930;174;552;262;0.533506
931;174;544;264;0.534103
932;174;564;257;0.534692
933;174;532;263;0.535287
934;174;562;270;0.535883
935;174;525;258;0.536472
936;174;566;264;0.537067
937;174;554;258;0.537661
938;174;551;262;0.538257
939;174;550;255;0.538825
940;174;557;264;0.539415
941;174;554;267;0.540017
942;174;555;256;0.540609
943;174;581;265;0.541205
944;174;552;260;0.541797
945;172;535;258;0.542398
946;172;565;265;0.543002
947;172;536;256;0.543585
948;172;552;265;0.544168
949;172;555;260;0.544759
950;172;555;259;0.545347
951;172;551;262;0.545938
952;172;562;261;0.546519
953;172;540;263;0.547105
954;172;561;257;0.547686
955;172;532;257;0.548278
956;172;607;252;0.548847
957;172;545;256;0.549403
958;172;550;255;0.549978
959;172;538;258;0.550559
960;172;562;249;0.551120
961;172;559;261;0.551685
962;172;549;255;0.552256
963;172;525;264;0.552839
964;172;548;255;0.553428
965;172;540;256;0.553998
966;172;594;267;0.554598
967;172;546;260;0.555162
968;172;548;269;0.555757
969;172;585;253;0.556338
970;172;574;259;0.556920
971;172;540;255;0.557492
972;172;554;261;0.558066
973;172;557;255;0.558637
974;172;577;260;0.559215
975;172;556;261;0.559786
976;172;540;261;0.560370
977;172;545;253;0.560940
978;172;543;254;0.561512
979;172;567;256;0.562083
980;172;536;264;0.562660
981;172;558;262;0.563251
982;172;575;261;0.563838
983;172;553;254;0.564413
984;172;538;259;0.564986
985;172;539;255;0.565565
986;172;523;253;0.566168
987;172;551;274;0.566752
988;172;528;257;0.567340
989;172;558;259;0.567917
990;172;551;252;0.568475
991;172;561;263;0.569048
992;172;538;251;0.569620
993;172;550;252;0.570192
994;172;533;265;0.570777
995;172;556;265;0.571368
996;172;545;266;0.571968
997;172;565;258;0.572535
998;172;555;261;0.573115
999;172;556;264;0.573699
1000;172;560;263;0.574288
1001;172;539;255;0.574869
1002;172;541;254;0.575449
1003;172;546;261;0.576025
1004;172;537;263;0.576604
1005;172;537;271;0.577193
1006;172;579;270;0.577788
1007;172;551;256;0.578368
1008;172;544;254;0.578943
1009;172;555;253;0.579514
1010;172;548;261;0.580095
1011;172;558;260;0.580679
1012;172;549;257;0.581254
1013;172;532;257;0.581830
1014;172;567;256;0.582404
1015;172;553;260;0.582986
1016;172;538;263;0.583573
1017;172;551;259;0.584153
